id,image_path,category,gender,baseColour,season,usage,productDisplayName,category_encoded,gender_encoded,mapped_color,color_encoded,season_encoded,mapped_usage,usage_encoded
34797,/content/fashion_data/images/34797.jpg,Hats & Headwear,Men,Grey,Summer,Casual,Flying Machine Men Grey Hat,5,0,Grey,9,2,Casual,0
38418,/content/fashion_data/images/38418.jpg,Belts,Women,Purple,Summer,Casual,Baggit Women Purple Choti Eva Belt,0,2,Purple,18,2,Casual,0
17380,/content/fashion_data/images/17380.jpg,Scarves & Shawls,Men,Multi,Fall,Casual,Reid & Taylor Men Check Multi Muffler,8,0,Multi-color,12,0,Casual,0
38010,/content/fashion_data/images/38010.jpg,Watches,Men,White,Winter,Casual,Q&Q Men White Dial Watch DB06J304Y,11,0,White,23,3,Casual,0
45157,/content/fashion_data/images/45157.jpg,Watches,Men,Silver,Winter,Casual,Casio Youth Series Men Silver-Toned Marine Sports Watch MW-600F-7AVDF(A507),11,0,Silver,20,3,Casual,0
21962,/content/fashion_data/images/21962.jpg,Handbags & Clutches,Women,Maroon,Winter,Casual,Murcia Women Casual Maroon Handbag,4,2,Maroon,10,3,Casual,0
50417,/content/fashion_data/images/50417.jpg,Watches,Women,Silver,Winter,Casual,Miss Sixty Silver Dial Watch,11,2,Silver,20,3,Casual,0
59260,/content/fashion_data/images/59260.jpg,Watches,Women,Silver,Winter,Casual,Titan Women Silver Dial Watch,11,2,Silver,20,3,Casual,0
17632,/content/fashion_data/images/17632.jpg,Handbags & Clutches,Women,Black,Fall,Casual,Puma Women Chill Grip Black Handbag,4,2,Black,1,0,Casual,0
16869,/content/fashion_data/images/16869.jpg,Sunglasses & Eyewear,Men,Brown,Winter,Casual,Idee Men Funky Eyewear Brown Sunglasses,9,0,Brown,3,3,Casual,0
53997,/content/fashion_data/images/53997.jpg,Handbags & Clutches,Women,Grey,Summer,Casual,Kiara Women Grey Handbag,4,2,Grey,9,2,Casual,0
21664,/content/fashion_data/images/21664.jpg,Watches,Men,Black,Winter,Casual,Fossil Men Black Dial Watch AM4360,11,0,Black,1,3,Casual,0
36989,/content/fashion_data/images/36989.jpg,Handbags & Clutches,Women,Maroon,Summer,Casual,Lino Perros Women Maroon Clutch,4,2,Maroon,10,2,Casual,0
56675,/content/fashion_data/images/56675.jpg,Watches,Men,Black,Winter,Casual,Maxima Men Black Dial Watch,11,0,Black,1,3,Casual,0
58157,/content/fashion_data/images/58157.jpg,Handbags & Clutches,Women,Orange,Summer,Casual,Be For Bag Women Orange & White Bags,4,2,Orange,16,2,Casual,0
48801,/content/fashion_data/images/48801.jpg,Necklaces & Chains,Women,Silver,Summer,Casual,Lucera Women Silver Pendant,6,2,Silver,20,2,Casual,0
32351,/content/fashion_data/images/32351.jpg,Watches,Women,Steel,Winter,Casual,Q&Q Women Steel Dial Watch,11,2,Metallic,11,3,Casual,0
37419,/content/fashion_data/images/37419.jpg,Handbags & Clutches,Women,Red,Summer,Casual,Murcia Women Office Red Handbag,4,2,Red,19,2,Casual,0
43795,/content/fashion_data/images/43795.jpg,Earrings,Women,Gold,Summer,Ethnic,Royal Diadem Magenta Earrings,3,2,Gold,7,2,Festive/Religious,1
45162,/content/fashion_data/images/45162.jpg,Watches,Men,Black,Winter,Casual,Casio ENTICER Men Black Dial Watch A516 MTP-1305D-1AVDF,11,0,Black,1,3,Casual,0
37070,/content/fashion_data/images/37070.jpg,Handbags & Clutches,Women,Brown,Summer,Casual,Lino Perros Women Brown Handbag,4,2,Brown,3,2,Casual,0
42852,/content/fashion_data/images/42852.jpg,Handbags & Clutches,Women,Multi,Summer,Casual,French Connection Women Multi Colour Shopper Bag,4,2,Multi-color,12,2,Casual,0
53605,/content/fashion_data/images/53605.jpg,Watches,Men,Black,Winter,Casual,Q&Q Men Digital Watch M065-001,11,0,Black,1,3,Casual,0
43149,/content/fashion_data/images/43149.jpg,Watches,Men,White,Summer,Casual,Fastrack Men White Dial Watch N1161SM03,11,0,White,23,2,Casual,0
10397,/content/fashion_data/images/10397.jpg,Watches,Men,Black,Winter,Casual,Puma Men Slick Gents 3 Black Watches,11,0,Black,1,3,Casual,0
45158,/content/fashion_data/images/45158.jpg,Watches,Men,Brown,Winter,Casual,CASIO ENTICER Men Brown Dial Analogue Watch A510,11,0,Brown,3,3,Casual,0
34295,/content/fashion_data/images/34295.jpg,Scarves & Shawls,Women,Orange,Summer,Ethnic,Fabindia Orange Silk Dupatta,8,2,Orange,16,2,Festive/Religious,1
25227,/content/fashion_data/images/25227.jpg,Handbags & Clutches,Women,Blue,Winter,Casual,Lino Perros Women Leatherite Blue Handbag,4,2,Blue,2,3,Casual,0
25171,/content/fashion_data/images/25171.jpg,Handbags & Clutches,Women,Brown,Winter,Casual,Lino Perros Women Black & Brown Handbag,4,2,Brown,3,3,Casual,0
15953,/content/fashion_data/images/15953.jpg,Ties & Bowties,Men,Black,Fall,Formal,Turtle Men Solid Black Ties,10,0,Black,1,0,Formal,2
44849,/content/fashion_data/images/44849.jpg,Hats & Headwear,Unisex,Black,Summer,Casual,Puma Unisex Black Ducati Logo Cap,5,1,Black,1,2,Casual,0
48575,/content/fashion_data/images/48575.jpg,Bracelets & Bangles,Men,Steel,Summer,Casual,Revv Men Steel Bracelet,1,0,Metallic,11,2,Casual,0
59587,/content/fashion_data/images/59587.jpg,Cufflinks,Men,Steel,Summer,Casual,Revv Men Black and Steel Cufflinks,2,0,Metallic,11,2,Casual,0
34769,/content/fashion_data/images/34769.jpg,Handbags & Clutches,Women,White,Summer,Casual,Be For Bag Women Zoli White & Red Bag,4,2,White,23,2,Casual,0
52823,/content/fashion_data/images/52823.jpg,Earrings,Women,Green,Summer,Casual,Adrika Green Earrings,3,2,Green,8,2,Casual,0
13056,/content/fashion_data/images/13056.jpg,Watches,Women,Burgundy,Winter,Casual,Fastrack Women Burgundy Dial Watch 2166SL02,11,2,Burgundy,4,3,Casual,0
45900,/content/fashion_data/images/45900.jpg,Watches,Men,Grey,Winter,Casual,Maxima Men Grey Dial Watch,11,0,Grey,9,3,Casual,0
28196,/content/fashion_data/images/28196.jpg,Sunglasses & Eyewear,Men,Black,Winter,Casual,Ray-Ban Men Caravan Black Sunglasses,9,0,Black,1,3,Casual,0
59570,/content/fashion_data/images/59570.jpg,Cufflinks,Men,Steel,Summer,Casual,Revv Men Black and White Cufflinks,2,0,Metallic,11,2,Casual,0
16954,/content/fashion_data/images/16954.jpg,Sunglasses & Eyewear,Men,Black,Winter,Casual,Image Men Classic Eyewear Black Sunglasses,9,0,Black,1,3,Casual,0
34278,/content/fashion_data/images/34278.jpg,Scarves & Shawls,Women,Olive,Summer,Ethnic,Fabindia Women Silk Kota Tepchi Olive Dupatta,8,2,Green,8,2,Festive/Religious,1
34944,/content/fashion_data/images/34944.jpg,Scarves & Shawls,Women,Off White,Summer,Ethnic,Fabindia Women Printed Off White Dupatta,8,2,Off White,15,2,Festive/Religious,1
59216,/content/fashion_data/images/59216.jpg,Watches,Men,White,Winter,Casual,Titan Men White Watch,11,0,White,23,3,Casual,0
30166,/content/fashion_data/images/30166.jpg,Watches,Men,Blue,Winter,Casual,Esprit Men Blue Dial Watch,11,0,Blue,2,3,Casual,0
30000,/content/fashion_data/images/30000.jpg,Watches,Women,Silver,Winter,Casual,Aspen Women Silver Dial Watch,11,2,Silver,20,3,Casual,0
58915,/content/fashion_data/images/58915.jpg,Ties & Bowties,Men,Black,Summer,Casual,Hakashi Men Black Silk Tie,10,0,Black,1,2,Casual,0
19265,/content/fashion_data/images/19265.jpg,Watches,Women,Silver,Winter,Casual,Guess Women Chronograph Silver-Toned Dial Watch W11610L1,11,2,Silver,20,3,Casual,0
46314,/content/fashion_data/images/46314.jpg,Watches,Men,Black,Winter,Casual,Fossil Men Black Dial Chronograph Watch FS4487,11,0,Black,1,3,Casual,0
18803,/content/fashion_data/images/18803.jpg,Belts,Men,Brown,Summer,Casual,Peter England Men Casual Brown Belt,0,0,Brown,3,2,Casual,0
29529,/content/fashion_data/images/29529.jpg,Watches,Women,Black,Winter,Casual,Playboy Women Black Dial Watch,11,2,Black,1,3,Casual,0
19281,/content/fashion_data/images/19281.jpg,Watches,Women,Gold,Winter,Casual,Guess Women Candy Pop Gold Watch With Interchangeable Straps,11,2,Gold,7,3,Casual,0
58545,/content/fashion_data/images/58545.jpg,Sunglasses & Eyewear,Women,Grey,Winter,Casual,Miami Blues Women Sunglasses,9,2,Grey,9,3,Casual,0
40527,/content/fashion_data/images/40527.jpg,Watches,Men,Gold,Winter,Casual,Titan Men Gold Dial Watch,11,0,Gold,7,3,Casual,0
28589,/content/fashion_data/images/28589.jpg,Belts,Men,Brown,Summer,Casual,Peter England Men Leather Brown Belt,0,0,Brown,3,2,Casual,0
36367,/content/fashion_data/images/36367.jpg,Ties & Bowties,Men,Red,Summer,Formal,Reid & Taylor Men Red Tie,10,0,Red,19,2,Formal,2
38210,/content/fashion_data/images/38210.jpg,Sunglasses & Eyewear,Men,Black,Winter,Casual,Polaroid Men Sunglasses,9,0,Black,1,3,Casual,0
45914,/content/fashion_data/images/45914.jpg,Watches,Men,Black,Winter,Casual,Maxima Men Black Dial Watch,11,0,Black,1,3,Casual,0
25782,/content/fashion_data/images/25782.jpg,Belts,Men,Black,Summer,Formal,Arrow Men Black & White Suspenders,0,0,Black,1,2,Formal,2
40173,/content/fashion_data/images/40173.jpg,Sunglasses & Eyewear,Men,Black,Winter,Casual,Fastrack Men Black Polarized Sporty Wrap Sunglasses,9,0,Black,1,3,Casual,0
28205,/content/fashion_data/images/28205.jpg,Sunglasses & Eyewear,Men,Gold,Winter,Casual,Ray-Ban Men Active Lifestyle Gold Sunglasses,9,0,Gold,7,3,Casual,0
48724,/content/fashion_data/images/48724.jpg,Earrings,Women,Silver,Summer,Casual,Lucera Women Silver Earrings,3,2,Silver,20,2,Casual,0
28355,/content/fashion_data/images/28355.jpg,Sunglasses & Eyewear,Men,Black,Winter,Casual,Idee Men Black Sunglasses,9,0,Black,1,3,Casual,0
10213,/content/fashion_data/images/10213.jpg,Handbags & Clutches,Women,Black,Winter,Casual,Murcia Women Hahk Black Handbags,4,2,Black,1,3,Casual,0
56676,/content/fashion_data/images/56676.jpg,Watches,Men,White,Winter,Casual,Maxima Men White Chronograph Watch,11,0,White,23,3,Casual,0
16779,/content/fashion_data/images/16779.jpg,Watches,Unisex,Black,Winter,Casual,ADIDAS Originals Unisex Black Dial Watch ADH2541,11,1,Black,1,3,Casual,0
58093,/content/fashion_data/images/58093.jpg,Earrings,Women,Silver,Fall,Casual,Rreverie Silver Earrings,3,2,Silver,20,0,Casual,0
58625,/content/fashion_data/images/58625.jpg,Bracelets & Bangles,Women,Off White,Winter,Casual,ToniQ Women Multi Coloured Bangles,1,2,Off White,15,3,Casual,0
29078,/content/fashion_data/images/29078.jpg,Belts,Men,Brown,Winter,Casual,Fastrack Men Leather Brown Belt,0,0,Brown,3,3,Casual,0
49755,/content/fashion_data/images/49755.jpg,Ties & Bowties,Men,Blue,Summer,Formal,Parx Men Blue Tie,10,0,Blue,2,2,Formal,2
17426,/content/fashion_data/images/17426.jpg,Watches,Men,White,Winter,Casual,CASIO Edifice Men White Dial Watch ED309,11,0,White,23,3,Casual,0
45890,/content/fashion_data/images/45890.jpg,Watches,Men,Black,Winter,Casual,Maxima Men Black Dial Watch,11,0,Black,1,3,Casual,0
42833,/content/fashion_data/images/42833.jpg,Handbags & Clutches,Women,Black,Summer,Casual,French Connection Women Black Croc Handbag,4,2,Black,1,2,Casual,0
16945,/content/fashion_data/images/16945.jpg,Sunglasses & Eyewear,Women,Pink,Winter,Casual,Image Women Classic Eyewear Pink Sunglasses,9,2,Pink,17,3,Casual,0
52183,/content/fashion_data/images/52183.jpg,Earrings,Women,Silver,Fall,Casual,Lencia Sterling Silver Earrings,3,2,Silver,20,0,Casual,0
48899,/content/fashion_data/images/48899.jpg,Necklaces & Chains,Women,Silver,Summer,Casual,Lucera Women Silver Pendant with Chain,6,2,Silver,20,2,Casual,0
24778,/content/fashion_data/images/24778.jpg,Belts,Women,Pink,Winter,Casual,Lino Perros Women Ladies Belts Pink Pink Belts,0,2,Pink,17,3,Casual,0
10699,/content/fashion_data/images/10699.jpg,Watches,Women,Orange,Winter,Casual,Esprit Women Houston Yellow Ice Orange Watches,11,2,Orange,16,3,Casual,0
29745,/content/fashion_data/images/29745.jpg,Watches,Men,Black,Winter,Casual,Fossil Men Quartz Black Dial Chronograph Watch JR1303,11,0,Black,1,3,Casual,0
8661,/content/fashion_data/images/8661.jpg,Sunglasses & Eyewear,Unisex,Brown,Winter,Casual,Fastrack Unisex Hip Hop Brown Sunglasses,9,1,Brown,3,3,Casual,0
41253,/content/fashion_data/images/41253.jpg,Belts,Men,Black,Summer,Formal,Arrow Men Black & Brown Reversible Belt,0,0,Black,1,2,Formal,2
47395,/content/fashion_data/images/47395.jpg,Handbags & Clutches,Women,Green,Summer,Casual,Baggit Women Green Handbag,4,2,Green,8,2,Casual,0
14905,/content/fashion_data/images/14905.jpg,Belts,Men,Red,Summer,Casual,United Colors of Benetton Men Stripes Red Belts,0,0,Red,19,2,Casual,0
38237,/content/fashion_data/images/38237.jpg,Sunglasses & Eyewear,Unisex,Brown,Winter,Casual,Polaroid Unisex Sunglasses,9,1,Brown,3,3,Casual,0
25165,/content/fashion_data/images/25165.jpg,Handbags & Clutches,Women,Black,Winter,Casual,Lino Perros Women Leatherite Black Handbag,4,2,Black,1,3,Casual,0
25713,/content/fashion_data/images/25713.jpg,Hats & Headwear,Unisex,Black,Spring,Sports,ADIDAS Unisex Chicago Bulls Black Cap,5,1,Black,1,1,Sports,4
59238,/content/fashion_data/images/59238.jpg,Watches,Men,Black,Winter,Casual,Titan Men Black Watch,11,0,Black,1,3,Casual,0
46441,/content/fashion_data/images/46441.jpg,Watches,Men,Silver,Winter,Casual,Timex Men Sliver Dial Chronograph Watch,11,0,Silver,20,3,Casual,0
23283,/content/fashion_data/images/23283.jpg,Watches,Men,White,Winter,Casual,Maxima Ssteele Men White Watch,11,0,White,23,3,Casual,0
53889,/content/fashion_data/images/53889.jpg,Handbags & Clutches,Women,White,Summer,Casual,Kiara Women White Handbag,4,2,White,23,2,Casual,0
50320,/content/fashion_data/images/50320.jpg,Ties & Bowties,Men,Red,Summer,Formal,Park Avenue Men Red Tie,10,0,Red,19,2,Formal,2
51700,/content/fashion_data/images/51700.jpg,Sunglasses & Eyewear,Unisex,Gold,Winter,Casual,Van Heusen Unisex Brown Aviator Sunglasses VH217-C1,9,1,Gold,7,3,Casual,0
49238,/content/fashion_data/images/49238.jpg,Hats & Headwear,Men,Black,Fall,Casual,Arrow Men Black Cap,5,0,Black,1,0,Casual,0
48619,/content/fashion_data/images/48619.jpg,Earrings,Women,Silver,Fall,Casual,Lucera Women Gold Earrings,3,2,Silver,20,0,Casual,0
20600,/content/fashion_data/images/20600.jpg,Handbags & Clutches,Women,Red,Winter,Casual,Baggit Women Curls Hoor Red Handbag,4,2,Red,19,3,Casual,0
18997,/content/fashion_data/images/18997.jpg,Hats & Headwear,Unisex,Black,Summer,Casual,ADIDAS Originals Unisex Woolie Stripes Black Cap,5,1,Black,1,2,Casual,0
8104,/content/fashion_data/images/8104.jpg,Watches,Women,Black,Winter,Casual,Fastrack Women New Analog White Black Watch,11,2,Black,1,3,Casual,0
45132,/content/fashion_data/images/45132.jpg,Watches,Men,White,Winter,Casual,Casio Enticer Men White Dial Analogue Watch MTP-1216A-7BDF(A357),11,0,White,23,3,Casual,0
59281,/content/fashion_data/images/59281.jpg,Watches,Men,Black,Winter,Casual,Titan Men Brown Watch,11,0,Black,1,3,Casual,0
5078,/content/fashion_data/images/5078.jpg,Watches,Women,Blue,Winter,Casual,Being Human Women Blue Silicon Strap with Stones Watch,11,2,Blue,2,3,Casual,0
25253,/content/fashion_data/images/25253.jpg,Handbags & Clutches,Women,Orange,Summer,Casual,Lino Perros Women Leatherette Orange Handbag,4,2,Orange,16,2,Casual,0
25786,/content/fashion_data/images/25786.jpg,Belts,Men,Black,Summer,Formal,Arrow Men Black Suspenders,0,0,Black,1,2,Formal,2
10135,/content/fashion_data/images/10135.jpg,Watches,Women,Silver,Winter,Casual,Esprit Women Lissomy Glam White Silver Watches,11,2,Silver,20,3,Casual,0
38308,/content/fashion_data/images/38308.jpg,Scarves & Shawls,Men,Blue,Summer,Casual,Reid & Taylor Men Blue Scarf,8,0,Blue,2,2,Casual,0
25611,/content/fashion_data/images/25611.jpg,Watches,Women,Blue,Winter,Casual,Fastrack Women Blue Dial Watch,11,2,Blue,2,3,Casual,0
51565,/content/fashion_data/images/51565.jpg,Watches,Men,Black,Winter,Casual,Fastrack Men Black Dial Watch,11,0,Black,1,3,Casual,0
