id,image_path,category,gender,baseColour,season,usage,productDisplayName
59263,/content/fashion_data/images/59263.jpg,Watches,Women,Silver,Winter,Casual,Titan Women Silver Watch
30039,/content/fashion_data/images/30039.jpg,Watches,Men,Black,Winter,Casual,Skagen Men Black Watch
48123,/content/fashion_data/images/48123.jpg,Belts,Women,Black,Summer,Casual,Fossil Women Black Huarache Weave Belt
47957,/content/fashion_data/images/47957.jpg,Handbags & Clutches,Women,Blue,Summer,Casual,Murcia Women Blue Handbag
29928,/content/fashion_data/images/29928.jpg,Watches,Men,Black,Winter,Casual,Police Men Black Dial Watch PL12889JVSB
47359,/content/fashion_data/images/47359.jpg,Handbags & Clutches,Women,Brown,Summer,Casual,Baggit Women Brown Handbag
17429,/content/fashion_data/images/17429.jpg,Watches,Men,Black,Winter,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223
48311,/content/fashion_data/images/48311.jpg,Bracelets & Bangles,Women,Bronze,Winter,Casual,Pitaraa Women Bronze Beaded Bracelet
21977,/content/fashion_data/images/21977.jpg,Handbags & Clutches,Women,Brown,Winter,Casual,Murcia Women Casual Brown Handbag
58183,/content/fashion_data/images/58183.jpg,Handbags & Clutches,Women,White,Summer,Casual,Rocky S Women White Handbag
29742,/content/fashion_data/images/29742.jpg,Handbags & Clutches,Women,Teal,Summer,Casual,Kiara Women Teal Handbag
51658,/content/fashion_data/images/51658.jpg,Watches,Women,Copper,Winter,Casual,Fossil Women Copper Chronograph Watch CH2589
18839,/content/fashion_data/images/18839.jpg,Belts,Men,Black,Fall,Formal,Peter England Men Formal Black Belt
23278,/content/fashion_data/images/23278.jpg,Watches,Men,Off White,Winter,Casual,Maxima Ssteele Men Off White Watch
38402,/content/fashion_data/images/38402.jpg,Belts,Women,Black,Summer,Casual,Baggit Women Hood Dabang Black Belt
44984,/content/fashion_data/images/44984.jpg,Watches,Women,White,Winter,Casual,Maxima Women White Dial Watch
11188,/content/fashion_data/images/11188.jpg,Watches,Men,Silver,Winter,Casual,Carrera Men Dial steel finish strap Silver Watches
45258,/content/fashion_data/images/45258.jpg,Watches,Men,Black,Winter,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60
42841,/content/fashion_data/images/42841.jpg,Handbags & Clutches,Women,Beige,Summer,Casual,French Connection Women Beige Handbag
35913,/content/fashion_data/images/35913.jpg,Handbags & Clutches,Women,Black,Summer,Casual,Peperone Women Black & White Handbag
16957,/content/fashion_data/images/16957.jpg,Sunglasses & Eyewear,Men,Black,Winter,Casual,Image Men Sunglasses
48781,/content/fashion_data/images/48781.jpg,Necklaces & Chains,Women,Silver,Summer,Casual,Lucera Women Silver Pendant
44970,/content/fashion_data/images/44970.jpg,Watches,Men,White,Winter,Casual,Maxima Men White Dial Analog Chronograph Watch
25947,/content/fashion_data/images/25947.jpg,Scarves & Shawls,Women,Brown,Summer,Casual,Femella Women Brown Scarf
22950,/content/fashion_data/images/22950.jpg,Watches,Unisex,Black,Winter,Casual,Fastrack Unisex Black Dial Watch 9915PP13
31923,/content/fashion_data/images/31923.jpg,Handbags & Clutches,Women,Blue,Summer,Casual,Fabindia Women Blue Silk Sling Bag
49005,/content/fashion_data/images/49005.jpg,Rings,Women,Silver,Summer,Casual,Lucera Women Silver Ring
13841,/content/fashion_data/images/13841.jpg,Watches,Unisex,White,Winter,Casual,ADIDAS Unisex Three Small Dials White Watches
28200,/content/fashion_data/images/28200.jpg,Sunglasses & Eyewear,Men,Copper,Winter,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses
8110,/content/fashion_data/images/8110.jpg,Watches,Men,Black,Winter,Casual,Fastrack Men Economy 2 Analg Black Watch
20851,/content/fashion_data/images/20851.jpg,Handbags & Clutches,Women,Red,Winter,Casual,Spice Art Women Ribbon Embroidery Red Clutch
58177,/content/fashion_data/images/58177.jpg,Handbags & Clutches,Women,Brown,Summer,Casual,Rocky S Women Brown Handbag
43190,/content/fashion_data/images/43190.jpg,Watches,Women,White,Winter,Casual,Fastrack Women White Dial Watch
48578,/content/fashion_data/images/48578.jpg,Bracelets & Bangles,Men,Steel,Summer,Casual,Revv Men Steel Bracelet
18208,/content/fashion_data/images/18208.jpg,Hats & Headwear,Men,White,Fall,Casual,Manchester United Men Solid White Cap
32335,/content/fashion_data/images/32335.jpg,Watches,Men,Silver,Winter,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y
56670,/content/fashion_data/images/56670.jpg,Watches,Men,Black,Winter,Casual,Maxima Men Black Dial Watch
36795,/content/fashion_data/images/36795.jpg,Watches,Men,Silver,Winter,Casual,Maxima Men Ssteele Silver Dial Watch
40527,/content/fashion_data/images/40527.jpg,Watches,Men,Gold,Winter,Casual,Titan Men Gold Dial Watch
45869,/content/fashion_data/images/45869.jpg,Watches,Men,Brown,Winter,Casual,Maxima Men Brown Dial Watch
21510,/content/fashion_data/images/21510.jpg,Handbags & Clutches,Women,White,Winter,Casual,Kiara Women Graphiti White Handbag
51667,/content/fashion_data/images/51667.jpg,Sunglasses & Eyewear,Men,Grey,Winter,Casual,Louis Philippe Men Grey Sunglasses
35322,/content/fashion_data/images/35322.jpg,Earrings,Women,Silver,Winter,Ethnic,Fabindia Women Anusuya Silver Earrings
18806,/content/fashion_data/images/18806.jpg,Belts,Men,Tan,Summer,Casual,Peter England Men Casual Tan Belt
17072,/content/fashion_data/images/17072.jpg,Belts,Women,Grey,Winter,Casual,Lino Perros Women Weaved  Grey Belt
21948,/content/fashion_data/images/21948.jpg,Handbags & Clutches,Women,Brown,Winter,Casual,Murcia Women Casual Brown Handbag
4716,/content/fashion_data/images/4716.jpg,Watches,Unisex,Black,Winter,Sports,ADIDAS Unisex Response ST Analogue Black Watch
47366,/content/fashion_data/images/47366.jpg,Handbags & Clutches,Women,Blue,Summer,Casual,Baggit Women Blue Bag
9009,/content/fashion_data/images/9009.jpg,Handbags & Clutches,Women,Brown,Winter,Casual,Murcia Women Snake Print Bag Brown Handbags
12164,/content/fashion_data/images/12164.jpg,Scarves & Shawls,Women,Orange,Fall,Ethnic,Aurelia Women Voile Orange Dupatta
26351,/content/fashion_data/images/26351.jpg,Watches,Women,White,Winter,Casual,DKNY Women White Dial Watch NY8472
29917,/content/fashion_data/images/29917.jpg,Watches,Men,White,Winter,Casual,Police Men White Dial Watch PL12698JS
56214,/content/fashion_data/images/56214.jpg,Earrings,Women,Gold,Winter,Casual,Estelle Women Gold Earrings
21346,/content/fashion_data/images/21346.jpg,Sunglasses & Eyewear,Men,Gold,Winter,Casual,Pal Zileri Men Casual Gold Frame Sunglasses
58148,/content/fashion_data/images/58148.jpg,Hats & Headwear,Unisex,White,Fall,Casual,Puma Unisex White Cap
20052,/content/fashion_data/images/20052.jpg,Scarves & Shawls,Women,Yellow,Fall,Casual,United Colors Of Benetton Women Yellow Muffler
47392,/content/fashion_data/images/47392.jpg,Handbags & Clutches,Women,Beige,Fall,Casual,Baggit Women Beige Bag
46072,/content/fashion_data/images/46072.jpg,Belts,Men,Black,Summer,Casual,Lino Perros Men Black Leather Belt
27045,/content/fashion_data/images/27045.jpg,Handbags & Clutches,Women,Off White,Summer,Casual,Yelloe Off White Fur Zip Clutch
25712,/content/fashion_data/images/25712.jpg,Hats & Headwear,Unisex,Blue,Summer,Sports,ADIDAS Unisex Blue Cap
3391,/content/fashion_data/images/3391.jpg,Handbags & Clutches,Women,White,Winter,Casual,Murcia Women White With Stitch Bag
43164,/content/fashion_data/images/43164.jpg,Watches,Men,Black,Winter,Casual,Fastrack Men Black Watch
20604,/content/fashion_data/images/20604.jpg,Handbags & Clutches,Women,Brown,Winter,Casual,Baggit Women Umbrella Dum Brown Handbag
45293,/content/fashion_data/images/45293.jpg,Watches,Women,Red,Winter,Casual,CASIO SHEEN Women Red Dial Watch SX017
36761,/content/fashion_data/images/36761.jpg,Watches,Men,Black,Winter,Casual,Maxima Men Black Watch
25144,/content/fashion_data/images/25144.jpg,Handbags & Clutches,Women,Orange,Winter,Casual,Lino Perros Women Leatherite Orange Handbag
37481,/content/fashion_data/images/37481.jpg,Watches,Women,White,Winter,Casual,Esprit Women White Dial Watch
51693,/content/fashion_data/images/51693.jpg,Sunglasses & Eyewear,Unisex,Brown,Winter,Casual,Van Heusen Unisex Brown Sunglasses
28207,/content/fashion_data/images/28207.jpg,Sunglasses & Eyewear,Men,Black,Winter,Casual,Ray-Ban Men Active Lifestyle Black Sunglasses
8117,/content/fashion_data/images/8117.jpg,Watches,Men,Black,Winter,Casual,Fastrack Men New Analog Black Navy Watch
58170,/content/fashion_data/images/58170.jpg,Handbags & Clutches,Women,Red,Fall,Casual,Rocky S Women Red Clutch
39375,/content/fashion_data/images/39375.jpg,Watches,Women,Silver,Winter,Casual,Helix Women Silver Dial Watch
59290,/content/fashion_data/images/59290.jpg,Watches,Men,Black,Winter,Casual,Titan Men Black Dial Watch
52678,/content/fashion_data/images/52678.jpg,Watches,Men,Black,Winter,Casual,Morellato Men Black Watch
27841,/content/fashion_data/images/27841.jpg,Belts,Men,White,Summer,Casual,Bulchee Men Plain Jeans White Belt
31924,/content/fashion_data/images/31924.jpg,Handbags & Clutches,Women,Black,Summer,Casual,Fabindia Women Black Silk Handbag
39711,/content/fashion_data/images/39711.jpg,Watches,Men,Black,Winter,Casual,ADIDAS Original Men Black Dial Chronograph Watch ADH2641
36759,/content/fashion_data/images/36759.jpg,Watches,Men,White,Winter,Casual,Maxima Men White Dial Watch
16950,/content/fashion_data/images/16950.jpg,Sunglasses & Eyewear,Men,Brown,Winter,Casual,Image Men Sunglasses
48786,/content/fashion_data/images/48786.jpg,Necklaces & Chains,Women,Silver,Summer,Casual,Lucera Women Silver Pendant
44977,/content/fashion_data/images/44977.jpg,Watches,Men,Silver,Winter,Casual,Maxima Men Silver Dial Attivo Watch
25940,/content/fashion_data/images/25940.jpg,Scarves & Shawls,Women,Yellow,Summer,Casual,Femella Women Yellow & Blue Scarf
42846,/content/fashion_data/images/42846.jpg,Handbags & Clutches,Women,Multi,Summer,Casual,French Connection Women Multi Stripe Hand Bag
35128,/content/fashion_data/images/35128.jpg,Bracelets & Bangles,Women,Purple,Winter,Casual,Allen Solly Woman Purple Bangle
29745,/content/fashion_data/images/29745.jpg,Watches,Men,Black,Winter,Casual,Fossil Men Quartz Black Dial Chronograph Watch JR1303
48772,/content/fashion_data/images/48772.jpg,Necklaces & Chains,Women,Silver,Summer,Casual,Lucera Women Silver Pendant
30668,/content/fashion_data/images/30668.jpg,Sunglasses & Eyewear,Men,Black,Winter,Casual,Park Avenue Men Black Sunglasses
44983,/content/fashion_data/images/44983.jpg,Watches,Women,Silver,Winter,Casual,Maxima Women Silver Dial Watch
38405,/content/fashion_data/images/38405.jpg,Belts,Women,White,Summer,Casual,Baggit Women White Capri Taj Belt
53934,/content/fashion_data/images/53934.jpg,Handbags & Clutches,Women,Brown,Summer,Casual,Kiara Women Brown Handbag
25188,/content/fashion_data/images/25188.jpg,Handbags & Clutches,Women,Brown,Winter,Casual,Lino Perros Women Leatherite Brown Handbag
24866,/content/fashion_data/images/24866.jpg,Belts,Men,Black,Summer,Casual,Reid & Taylor Men Formal Black Belt
53108,/content/fashion_data/images/53108.jpg,Earrings,Women,Silver,Winter,Casual,Fabindia Silver Earrings
21528,/content/fashion_data/images/21528.jpg,Handbags & Clutches,Women,Copper,Winter,Casual,Kiara Women Sequins Copper Handbag
59432,/content/fashion_data/images/59432.jpg,Handbags & Clutches,Women,Black,Summer,Casual,Spice Art Women Black Handbag
58184,/content/fashion_data/images/58184.jpg,Handbags & Clutches,Women,Beige,Summer,Casual,Rocky S Women Beige Handbag
59264,/content/fashion_data/images/59264.jpg,Watches,Women,White,Winter,Casual,Titan Women White Watch
48124,/content/fashion_data/images/48124.jpg,Belts,Women,Brown,Summer,Casual,Fossil Women Brown Huarache Weave Belt
3739,/content/fashion_data/images/3739.jpg,Hats & Headwear,Men,Blue,Fall,Sports,ADIDAS Men Delhi Daredevil Blue Cap
25143,/content/fashion_data/images/25143.jpg,Handbags & Clutches,Women,Silver,Winter,Casual,Lino Perros Women Silver Clutch
51694,/content/fashion_data/images/51694.jpg,Sunglasses & Eyewear,Unisex,Brown,Winter,Casual,Van Heusen Unisex Sunglasses VH216-C2
