id,image_path,articleType,gender,baseColour,season,usage,productDisplayName,mapped_color,neckline,dress_length,fabric,pattern,sleeve_length,mapped_usage,color_encoded,neckline_encoded,dress_length_encoded,fabric_encoded,pattern_encoded,sleeve_length_encoded,usage_encoded,season_encoded,gender_encoded
57281,/content/fashion_data/images/57281.jpg,Shirts,Men,White,Summer,Casual,French Connection Men Purple Shirt,White,Collared,Knee-length,Linen,Solid,Long Sleeve,Casual,22,1,1,6,7,3,0,2,0
6570,/content/fashion_data/images/6570.jpg,Tshirts,Men,Yellow,Winter,Casual,Inkfruit Men's Krishna Lemon Yellow T-shirt,Yellow,Crew Neck,Mini,Polyester,Solid,Short Sleeve,Casual,23,3,4,7,7,4,0,3,0
4097,/content/fashion_data/images/4097.jpg,Tshirts,Men,Red,Fall,Sports,Nike Men's Team Poly Red T-shirt,Red,V-Neck,Mini,Cotton,Solid,Cap Sleeve,Sports,18,14,4,1,7,2,4,0,0
43332,/content/fashion_data/images/43332.jpg,Tunics,Women,Grey,Summer,Casual,United Colors of Benetton Women Grey Tunic,Grey,V-Neck,Knee-length,Cotton,Solid,Short Sleeve,Casual,9,14,1,1,7,4,0,2,2
3089,/content/fashion_data/images/3089.jpg,Tshirts,Men,Black,Summer,Casual,Probase Men's Dead Tired Black T-shirt,Black,V-Neck,Mini,Cotton,Solid,Short Sleeve,Casual,1,14,4,1,7,4,0,2,0
27590,/content/fashion_data/images/27590.jpg,Tshirts,Men,Blue,Summer,Casual,Scullers Men White & Blue T-shirt,Blue,V-Neck,Mini,Polyester,Solid,Cap Sleeve,Casual,2,14,4,7,7,2,0,2,0
12649,/content/fashion_data/images/12649.jpg,Tshirts,Men,White,Fall,Casual,Probase Men Printed White Tshirts,White,Scoop Neck,Mini,Cotton,Abstract,Short Sleeve,Casual,22,10,4,1,0,4,0,0,0
37220,/content/fashion_data/images/37220.jpg,Shirts,Men,White,Summer,Casual,United Colors of Benetton Boys Printed White Shirt,White,V-Neck,Mini,Linen,Abstract,Long Sleeve,Casual,22,14,4,6,0,3,0,2,0
3981,/content/fashion_data/images/3981.jpg,Tshirts,Men,Green,Summer,Casual,Mr.Men Men's Always On The Move Green T-shirt,Green,Scoop Neck,Mini,Polyester,Solid,Short Sleeve,Casual,8,10,4,7,7,4,0,2,0
2172,/content/fashion_data/images/2172.jpg,Tshirts,Men,Navy Blue,Summer,Casual,Probase Men Stripe Navy Blue T-shirt,Navy Blue,Scoop Neck,Mini,Cotton,Striped,Short Sleeve,Casual,12,10,4,1,8,4,0,2,0
42675,/content/fashion_data/images/42675.jpg,Kurtas,Women,Black,Summer,Ethnic,Alma Women Black Kurta,Black,Collared,Knee-length,Crepe,Solid,Short Sleeve,Festive/Religious,1,1,1,2,7,4,1,2,2
38846,/content/fashion_data/images/38846.jpg,Dresses,Women,Brown,Summer,Casual,Latin Quarters Women Brown Printed Dress,Brown,Off-Shoulder,Mini,Lace,Abstract,Cap Sleeve,Casual,3,8,4,4,0,2,0,2,2
16193,/content/fashion_data/images/16193.jpg,Sweaters,Men,Green,Fall,Casual,Puma Men Knitted Vest Green Sweater,Green,Mock Neck,Mini,Cotton,Solid,Long Sleeve,Casual,8,7,4,1,7,3,0,0,0
19589,/content/fashion_data/images/19589.jpg,Tops,Women,Pink,Summer,Casual,United Colors Of Benetton Women Pink Printed Top,Pink,Halter,Mini,Silk,Abstract,Cap Sleeve,Casual,16,4,4,9,0,2,0,2,2
12663,/content/fashion_data/images/12663.jpg,Shirts,Men,Blue,Fall,Casual,Probase Men Stripes Blue Shirts,Blue,Collared,Mini,Polyester,Striped,3/4 Sleeve,Casual,2,1,4,7,8,0,0,0,0
53826,/content/fashion_data/images/53826.jpg,Kurtas,Women,Brown,Summer,Ethnic,Folklore Women Brown Printed Kurta,Brown,Collared,Knee-length,Cotton,Abstract,3/4 Sleeve,Festive/Religious,3,1,1,1,0,0,1,2,2
2349,/content/fashion_data/images/2349.jpg,Tshirts,Men,Red,Fall,Casual,Reebok Men Truth or Dare Red T-shirt,Red,Crew Neck,Mini,Cotton,Solid,Cap Sleeve,Casual,18,3,4,1,7,2,0,0,0
26059,/content/fashion_data/images/26059.jpg,Shirts,Men,Black,Summer,Formal,John Miller Men Gingham Black Shirt,Black,Collared,Mini,Cotton,Solid,3/4 Sleeve,Formal,1,1,4,1,7,0,2,2,0
40267,/content/fashion_data/images/40267.jpg,Tshirts,Men,White,Summer,Casual,Scullers Men Striped White T-shirt,White,Scoop Neck,Mini,Cotton,Striped,Short Sleeve,Casual,22,10,4,1,8,4,0,2,0
35997,/content/fashion_data/images/35997.jpg,Tshirts,Men,Black,Summer,Casual,Ben 10 Boys Crew Black T-shirt,Black,Scoop Neck,Mini,Cotton,Solid,Short Sleeve,Casual,1,10,4,1,7,4,0,2,0
12329,/content/fashion_data/images/12329.jpg,Shirts,Men,Navy Blue,Fall,Formal,Genesis Men Check Navy Blue Shirts,Navy Blue,Collared,Knee-length,Linen,Plaid,Long Sleeve,Formal,12,1,1,6,5,3,2,0,0
12789,/content/fashion_data/images/12789.jpg,Kurtas,Women,White,Fall,Ethnic,Mother Earth Women Sajiya Collt White Kurtas,White,V-Neck,Midi,Silk,Solid,Short Sleeve,Festive/Religious,22,14,3,9,7,4,1,0,2
2840,/content/fashion_data/images/2840.jpg,Tshirts,Men,White,Summer,Casual,Mr.Men Men's Its Gonna Get Messy White T-shirt,White,Crew Neck,Mini,Cotton,Solid,Short Sleeve,Casual,22,3,4,1,7,4,0,2,0
20228,/content/fashion_data/images/20228.jpg,Sweaters,Women,Red,Fall,Casual,Wrangler Women Cable Red Sweater,Red,Cowl Neck,Mini,Cotton,Solid,Long Sleeve,Casual,18,2,4,1,7,3,0,0,2
38959,/content/fashion_data/images/38959.jpg,Tshirts,Men,Navy Blue,Summer,Casual,Gini and Jony Boys Printed Navy Blue T-shirt,Navy Blue,Scoop Neck,Mini,Cotton,Abstract,Cap Sleeve,Casual,12,10,4,1,0,2,0,2,0
